Lane,Date,Time,Scheduled volume,Slam volume
EWR4->BOS5,7/16/2018,22:00 EDT,4499.04148,4486.79627
EWR4->BOS5,7/16/2018,23:00 EDT,3246.24384,182.711629
EWR4->BOS5,7/17/2018,00:00 EDT,3630.81284,315.064666
EWR4->BOS5,7/17/2018,01:00 EDT,3659.60288,465.450813
EWR4->BOS5,7/17/2018,02:00 EDT,3622.40008,632.665263
EWR4->BOS5,7/17/2018,03:00 EDT,3641.13473,748.004675
EWR4->BOS5,7/17/2018,04:00 EDT,3646.58961,865.048941
EWR4->BOS5,7/17/2018,05:00 EDT,3774.28079,1068.6584
EWR4->BOS5,7/17/2018,06:00 EDT,3897.11228,1190.04552
EWR4->BOS5,7/17/2018,07:00 EDT,3767.36415,1506.86538
EWR4->BOS5,7/17/2018,08:00 EDT,3492.67219,1869.91767
EWR4->BOS5,7/17/2018,09:00 EDT,3726.77263,2007.87107
EWR4->BOS5,7/17/2018,10:00 EDT,4372.2346,2354.45611
EWR4->BOS5,7/17/2018,11:00 EDT,5036.43905,2667.83457
EWR4->BOS5,7/17/2018,12:00 EDT,5520.07097,2893.30756
EWR4->BOS5,7/17/2018,13:00 EDT,5696.74217,3403.47612
EWR4->BOS5,7/17/2018,14:00 EDT,5987.15672,3962.58047
EWR4->BOS5,7/17/2018,15:00 EDT,5975.47293,4201.54778
EWR4->BOS5,7/17/2018,16:00 EDT,5986.99517,4442.83489
EWR4->BOS5,7/17/2018,17:00 EDT,5906.73561,4906.95106
EWR4->BOS5,7/17/2018,18:00 EDT,5928.38183,5003.68705
EWR4->BOS5,7/17/2018,19:00 EDT,5928.95544,5634.56401
EWR4->BOS5,7/17/2018,20:00 EDT,5889.12382,5870.565
EWR4->BOS5,7/17/2018,21:00 EDT,5920.94543,5909.19177
EWR4->BOS5,7/17/2018,22:00 EDT,6974.9704,5911.48408
EWR4->BOS5,7/17/2018,23:00 EDT,7911.00883,248.275485
EWR4->BOS5,7/18/2018,00:00 EDT,7941.88003,512.075633
EWR4->BOS5,7/18/2018,01:00 EDT,7955.03177,719.990743
EWR4->BOS5,7/18/2018,02:00 EDT,8034.25285,895.204393
EWR4->BOS5,7/18/2018,03:00 EDT,7941.18074,1025.78826
EWR4->BOS5,7/18/2018,04:00 EDT,7930.89571,1200.34596
EWR4->BOS5,7/18/2018,05:00 EDT,7921.93005,1438.65685
EWR4->BOS5,7/18/2018,06:00 EDT,7918.18257,1509.45698
EWR4->BOS5,7/18/2018,07:00 EDT,7825.23557,1909.37272
EWR4->BOS5,7/18/2018,08:00 EDT,7492.47409,2218.2003
EWR4->BOS5,7/18/2018,09:00 EDT,7900.48231,2363.71873
EWR4->BOS5,7/18/2018,10:00 EDT,8004.9481,2612.56582
EWR4->BOS5,7/18/2018,11:00 EDT,7957.3455,2905.05001
EWR4->BOS5,7/18/2018,12:00 EDT,7935.67282,3007.27941
EWR4->BOS5,7/18/2018,13:00 EDT,7941.58252,3203.52806
EWR4->BOS5,7/18/2018,14:00 EDT,7941.70523,3255.99895
EWR4->BOS5,7/18/2018,15:00 EDT,7955.37823,3292.24648
EWR4->BOS5,7/18/2018,16:00 EDT,7942.74995,3462.76539
EWR4->BOS5,7/18/2018,17:00 EDT,7849.126,4227.82976
EWR4->BOS5,7/18/2018,18:00 EDT,7847.23178,4813.08517
EWR4->BOS5,7/18/2018,19:00 EDT,7869.47955,6832.76527
EWR4->BOS5,7/18/2018,20:00 EDT,7881.50133,7735.96727
EWR4->BOS5,7/18/2018,21:00 EDT,7889.60706,7867.00962
EWR4->BOS5,7/18/2018,22:00 EDT,7891.50554,7869.76368
EWR4->BOS5,7/18/2018,23:00 EDT,1412.80719,103.698756
EWR4->BOS5,7/19/2018,00:00 EDT,1494.53119,172.472607
EWR4->BOS5,7/19/2018,01:00 EDT,1580.48108,302.784048
EWR4->BOS5,7/19/2018,02:00 EDT,1664.89838,428.0135
EWR4->BOS5,7/19/2018,03:00 EDT,1722.16377,488.185155
EWR4->BOS5,7/19/2018,04:00 EDT,1736.90602,552.916231
EWR4->BOS5,7/19/2018,05:00 EDT,1731.15367,581.951062
EWR4->BOS5,7/19/2018,06:00 EDT,1688.99474,595.545464
EWR4->BOS5,7/19/2018,07:00 EDT,1743.794,729.857542
EWR4->BOS5,7/19/2018,08:00 EDT,1755.34945,817.190005
EWR4->BOS5,7/19/2018,09:00 EDT,1839.33141,867.876253
EWR4->BOS5,7/19/2018,10:00 EDT,1935.58546,1012.08674
EWR4->BOS5,7/19/2018,11:00 EDT,2189.97902,1258.14381
EWR4->BOS5,7/19/2018,12:00 EDT,2374.11268,1303.62082
EWR4->BOS5,7/19/2018,13:00 EDT,2574.70704,1468.90546
EWR4->BOS5,7/19/2018,14:00 EDT,2744.44182,1592.51387
EWR4->BOS5,7/19/2018,15:00 EDT,2869.4318,1668.28977
EWR4->BOS5,7/19/2018,16:00 EDT,2906.33675,1765.56605
EWR4->BOS5,7/19/2018,17:00 EDT,2917.09257,1891.59626
EWR4->BOS5,7/19/2018,18:00 EDT,2925.51664,2145.91585
EWR4->BOS5,7/19/2018,19:00 EDT,2947.87357,2893.28069
EWR4->BOS5,7/19/2018,20:00 EDT,2976.17123,2956.85651
EWR4->BOS5,7/19/2018,21:00 EDT,3011.43966,3001.20014
EWR4->BOS5,7/19/2018,22:00 EDT,3018.83261,3009.45073
EWR4->BOS5,7/19/2018,23:00 EDT,574.661096,200.808916
EWR4->BOS5,7/20/2018,00:00 EDT,618.09927,234.024192
EWR4->BOS5,7/20/2018,01:00 EDT,682.707104,340.57425
EWR4->BOS5,7/20/2018,02:00 EDT,743.92797,427.150782
EWR4->BOS5,7/20/2018,03:00 EDT,800.75665,481.749851
EWR4->BOS5,7/20/2018,04:00 EDT,862.883452,572.656091
EWR4->BOS5,7/20/2018,05:00 EDT,897.375728,579.624949
EWR4->BOS5,7/20/2018,06:00 EDT,950.1296,619.1655
EWR4->BOS5,7/20/2018,07:00 EDT,1128.81595,768.332058
EWR4->BOS5,7/20/2018,08:00 EDT,1389.74394,1017.58027
EWR4->BOS5,7/20/2018,09:00 EDT,1775.9763,1311.47168
EWR4->BOS5,7/20/2018,10:00 EDT,2052.31874,1631.40502
EWR4->BOS5,7/20/2018,11:00 EDT,2300.12776,1907.9139
EWR4->BOS5,7/20/2018,12:00 EDT,2475.77909,1993.18405
EWR4->BOS5,7/20/2018,13:00 EDT,2699.33866,2213.08065
EWR4->BOS5,7/20/2018,14:00 EDT,2867.89535,2518.74598
EWR4->BOS5,7/20/2018,15:00 EDT,3035.61862,2706.67565
EWR4->BOS5,7/20/2018,16:00 EDT,3076.50041,2776.63723
EWR4->BOS5,7/20/2018,17:00 EDT,3233.48909,3040.98122
EWR4->BOS5,7/20/2018,18:00 EDT,3284.05957,3152.79856
EWR4->BOS5,7/20/2018,19:00 EDT,3372.32123,3340.25068
EWR4->BOS5,7/20/2018,20:00 EDT,3484.11544,3472.77632
EWR4->BOS5,7/20/2018,21:00 EDT,3593.03318,3586.13816
EWR4->BOS5,7/20/2018,22:00 EDT,3594.42967,3587.53465
EWR4->BOS5,7/20/2018,23:00 EDT,986.055297,281.060692
EWR4->BOS5,7/21/2018,00:00 EDT,1128.20681,446.859226
EWR4->BOS5,7/21/2018,01:00 EDT,1300.04322,696.466937
EWR4->BOS5,7/21/2018,02:00 EDT,1431.72793,883.022868
EWR4->BOS5,7/21/2018,03:00 EDT,1574.65675,1049.57412
EWR4->BOS5,7/21/2018,04:00 EDT,1652.72032,1175.01754
EWR4->BOS5,7/21/2018,05:00 EDT,1662.93148,1183.30704
EWR4->BOS5,7/21/2018,06:00 EDT,1678.46379,1183.30704
EWR4->BOS5,7/21/2018,07:00 EDT,1766.6707,1222.77397
EWR4->BOS5,7/21/2018,08:00 EDT,1943.54664,1408.5061
EWR4->BOS5,7/21/2018,09:00 EDT,2055.24213,1481.94893
